Key,Type,Summary,Epic,Parent,Labels,Paths,Description,Acceptance
MARXY-NEW-ra-front-matter-head,Story,Show front matter as a quiet document head,,MARXY-18,"phase-1,artifacts,taste,research-artifacts,human-review","packages/core/src/render/render-html.ts, packages/core/src/render/render.test.ts, packages/theme/src/base.css, scripts/registry.json, fixtures/corpus, packages/core/goldens, docs/taste-review/queue.md","Skills, rules and plans lead with YAML or TOML front matter and Marxy renders it as nothing. Draft P08, P12.","1. a new frontmatter.test.ts asserts YAML and TOML front matter render as a key/value head with every key, the head carries provenance and copies as the source bytes; 2. gate:golden regenerated for the corpus with a front matter fixture and the diff listed; 3. gate:aesthetics grid check passes with the head present at 16, 20, 24 and 28 px; 4. scripts/check-registry.mjs green with the new class names registered first; 5. node docs/research/reader-artifacts/lab/probe.mjs case frontmatter-yaml reports its keys visible."
MARXY-NEW-ra-removal-notice,Story,Tell the reader what the renderer removed,,MARXY-40,"phase-3,artifacts,security,research-artifacts,human-review","apps/desktop/src/notices, apps/desktop/src/app.ts, apps/desktop/test/trust.test.mjs, scripts/registry.json, docs/taste-review/queue.md","Comments, unknown tags and orphan definitions vanish and only console.info knows. Extends MARXY-44's notice. Draft P01.","1. apps/desktop/test/trust.test.mjs asserts a document with a comment and an unknown tag shows one notice naming both kinds with counts; 2. the notice's list jumps to each removed range in Source, asserted in trust.test.mjs; 3. gate:no-network unchanged and green; 4. scripts/check-registry.mjs green."
MARXY-NEW-ra-keep-xml-tag-content,Story,Keep the content of XML-style tags in instruction files,,MARXY-40,"phase-3,artifacts,security,research-artifacts,human-review","packages/core/src/sanitize, packages/core/src/render/pipeline.ts, packages/core/src/sanitize/vectors.test.ts, fixtures/corpus, packages/core/goldens",An <instructions> block is deleted with its contents. Needs draft P01 accepted; the path is CODEOWNERS-gated.,"1. vectors.test.ts asserts an unknown element in an instruction-class file keeps its children and records its name as a label, and a script or style element is still removed with its contents; 2. gate:golden regenerated with a prompt-file fixture; 3. gate:no-network green; 4. the probe case prompt-xml-block in lab/probe.mjs reports its text visible."
MARXY-NEW-ra-diff-tint,Story,"Tint added and deleted lines in diff fences, marker first",,MARXY-18,"phase-1,artifacts,taste,research-artifacts,human-review","packages/core/src/highlight/scopes.ts, packages/core/src/highlight/highlight.test.ts, apps/desktop/src/render/highlight.ts, packages/theme/src/tokens.css, packages/theme/src/base.css, packages/theme/default/theme.css, packages/theme/test, scripts/registry.json, docs/taste-review/queue.md","Diffs render monochrome. Draft P07 (tokens), P12. Chapter 9 measured the tints.","1. highlight.test.ts asserts inserted and deleted lines carry the new classes, hunk headers and the no-newline line carry none, and the + or - stays in the text; 2. palettes.test.mjs (packages/theme/test) asserts every Marxy token is at least 4.5:1 on all four tints in both variants, unrounded; 3. gate:aesthetics contrast check reads the four tints; 4. grid.test.mjs unchanged and green; 5. scripts/check-tokens.mjs green with the four tokens added."
MARXY-NEW-ra-copy-exactness,Story,"Copy code, kbd and commands exactly",,MARXY-40,"phase-3,artifacts,security,research-artifacts,human-review","packages/core/src/render/typography.ts, packages/core/src/render/typography.test.ts, packages/core/src/operations/copy-code-clean.ts, packages/core/src/operations/operations.test.ts, apps/desktop/src/selection","--frozen-lockfile pastes with an en dash, kbd is smartened, and a one-line command copies with a trailing newline. Draft P06.","1. typography.test.ts asserts no substitution inside code, kbd or samp, including when opened by raw HTML; 2. operations.test.ts asserts a block copy ends with one newline only if the source did and a one-line command copies with none; 3. gate:fidelity unchanged and green."
MARXY-NEW-ra-reserved-id-bypass,Story,Close the reserved-id and clobbering bypass,,MARXY-40,"phase-3,security,research-artifacts,human-review","packages/core/src/sanitize, packages/core/src/render/pipeline.ts, packages/core/src/sanitize/vectors.test.ts, packages/core/goldens, fixtures/corpus/10-hostile.md, docs/adr/0023-provenance-in-the-dom.md","An island can keep id=marxy-fn-1 through the whole pipeline, and ids such as cookie survive. Draft P02. CODEOWNERS-gated.","1. vectors.test.ts has a vector each for a marxy- id, a marxy- class and a global-shadowing id, with and without the public provenance attribute, each shown failing before the fix; 2. gate:golden regenerated and gate:no-network green on the hostile fixture; 3. the ADR-0023 amendment is in the PR and check:registry is green."
MARXY-NEW-ra-copy-section-html,Story,Stop copy-section rewriting text in clipboard HTML,,MARXY-40,"phase-3,artifacts,research-artifacts,human-review","packages/core/src/operations/copy-section.ts, packages/core/src/render/pipeline.ts, packages/core/src/operations/operations.test.ts","Two regexes over rendered HTML delete text that looks like an attribute, so `a data-marxy-k=""9"" b` copies as `a b`.","1. operations.test.ts asserts the clipboard html of a section holding that inline code and an html fence keeps their text byte for byte; 2. the two regular expressions are gone from copy-section.ts, asserted by operations.test.ts reading the file; 3. gate:fidelity green."
MARXY-NEW-ra-invisible-char-marker,Story,Mark invisible and bidirectional characters,,MARXY-18,"phase-1,artifacts,security,taste,research-artifacts,human-review","packages/core/src/render, apps/desktop/src/render, packages/theme/src/base.css, scripts/registry.json, apps/desktop/test, docs/taste-review/queue.md",Tag characters and bidi overrides reach the page unmarked. Marker display-only; bytes never change. Draft P12.,"1. a new invisibles.test.ts asserts the rule table: tag runs, bidi controls, ZWSP, ZWJ outside an emoji sequence and BOM are marked, emoji ZWJ, Persian ZWNJ, LRM, RLM and NBSP are not; 2. copy of a marked selection yields the exact bytes, asserted in operations.test.ts; 3. grid.test.mjs green and gate:aesthetics contrast >= 4.5:1 for the marker on every ground; 4. a bidi-isolate probe in WebKit inside a highlighted span passes in apps/desktop/test/invisibles.test.mjs."
MARXY-NEW-ra-alerts-label-first,Story,Recognise GitHub alerts with a label-first head,,MARXY-18,"phase-1,artifacts,taste,research-artifacts,human-review","packages/core/src/render, packages/theme/src/base.css, scripts/registry.json, fixtures/corpus, packages/core/goldens, docs/taste-review/queue.md","> [!NOTE] renders as a literal marker in a plain quote. No box, icon or colour carries the type.","1. a new alerts.test.ts asserts the five types render a run-in type word and no marker text, a title replaces the type word, and a legacy > **Note** is untouched; 2. gate:golden regenerated; 3. gate:aesthetics heading-hierarchy and contrast checks green (no colour carries the type)."
MARXY-NEW-ra-task-marker-code-span,Story,Every task item keeps its checkbox,,MARXY-40,"phase-3,artifacts,core,research-artifacts,human-review","packages/core/src/parse/from-mdast.ts, packages/core/src/parse/parse.test.ts, fixtures/corpus, packages/core/goldens","A task item whose first inline is a code span, bold, italic or a link has task set and no taskMarker node (measured on 7e0a280), so the toggle-task operation MARXY-43 landed cannot apply to it.",1. parse.test.ts asserts each opener yields a taskMarker with the marker's exact bytes; 2. gate:golden regenerated with a task fixture; 3. gate:fidelity green.
MARXY-NEW-ra-contrast-gate-all-pairs,Story,Hold every colour pair with a check that can fail,,MARXY-18,"phase-1,gates,a11y,research-artifacts,human-review","scripts/gate-aesthetics.mjs, packages/theme/test, fixtures/themes, docs/aesthetics-acceptance.md","The gate samples the first p, a caption class nothing emits, and the first code. Draft P14.","1. gate:aesthetics fails a fixture in which a link, a kbd or a table head is below 4.5:1, shown by --selftest; 2. the gate:aesthetics contrast pass covers every text-on-tint pair and every fixtures/themes theme; 3. docs/aesthetics-acceptance.md matches what the gate runs, asserted by a check:docs test."
MARXY-NEW-ra-media-query-rules,Story,"Forced colours, contrast preference and reduced motion",,MARXY-18,"phase-1,gates,a11y,research-artifacts,human-review","packages/theme/src/base.css, scripts/gate-aesthetics.mjs, apps/desktop/test","No stylesheet has forced-colors, prefers-contrast or prefers-reduced-motion; the diff and alert markers depend on them. Draft P14.",1. gate:aesthetics renders the diff and alert fixtures under forced-colors: active and asserts the marker and word survive; 2. gate:aesthetics runs at 320 px and asserts no page-level horizontal scroll; 3. packages/theme/test/media-queries.test.mjs asserts base.css contains the three media queries.
MARXY-NEW-ra-details-honoured,Story,Honour <details> and make it a grid unit,,MARXY-40,"phase-3,artifacts,security,research-artifacts,human-review","packages/core/src/sanitize, packages/core/src/render/pipeline.ts, packages/theme/src/base.css, packages/core/src/sanitize/policy.test.ts, fixtures/corpus/02-readme-real-world.md, packages/core/goldens",details is transparent and always open; under the wide policy a blank-line body renders outside it. Draft P03.,"1. policy.test.ts asserts details and summary survive with open: boolean, and script inside remains stripped; 2. pipeline.test.ts asserts the blank-line body sits inside its details; 3. gate:aesthetics grid check passes with a closed and an open details; 4. Find opens closed ancestors, asserted in apps/desktop/test/details.test.mjs."
MARXY-NEW-ra-console-and-ansi,Story,Highlight console sessions and show ESC,,MARXY-18,"phase-1,artifacts,research-artifacts,human-review","packages/core/src/highlight, apps/desktop/src/render/highlight.ts, packages/core/src/highlight/highlight.test.ts, scripts/allowlists, apps/desktop/src/source",$ is coloured as a function; there is no console grammar and ESC is invisible. Draft P13.,1. highlight.test.ts asserts a console fence classes $ as punctuation and leaves output unclassed; 2. gate:licences green with shellsession and jsonl recorded; 3. apps/desktop/test/ansi.test.mjs asserts ESC renders as a visible glyph in Rendered mode and copy yields the byte; 4. apps/desktop/test/source-special-chars.test.mjs asserts highlightSpecialChars is installed.
MARXY-NEW-ra-source-gutter,Story,"Line numbers in Source mode, kept out of copies",,MARXY-32,"phase-2,artifacts,research-artifacts,human-review","apps/desktop/src/source, apps/desktop/src/app.ts, apps/desktop/test","Source passes lineNumbers false. The measurement that numbers stay out of copies used a harness, not the app.","1. apps/desktop/test/source-gutter.test.mjs asserts a non-markdown file opens with numbers and a copy across lines contains none, in the shipped app's webview; 2. a toggle in the palette turns them off, asserted in source-gutter.test.mjs; 3. gate:aesthetics chrome-at-rest check still green in Rendered mode."
